mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,0,0.05,4,17,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,18,0.0008914162485385013,2.862850996301516,6.369526584896324
0.001,0,0.05,4,19,0.0008914162485385013,2.862850996301516,4.2939229599680395
0.001,0,0.05,4,20,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,21,0.0008914162485385013,2.862850996301516,6.957507493751076
0.001,0,0.05,4,22,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,23,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,24,0.0008914162485385013,0.13520021539529192,6.600518123100686
0.001,0,0.05,4,25,0.0008914162485385013,2.862850996301516,6.37813796179346
0.001,0,0.05,4,26,0.0008914162485385013,2.862850996301516,6.1272208145215465
0.001,0,0.05,4,27,0.0008914162485385013,2.3670885477121977,6.622788622445544
0.001,0,0.05,4,28,0.0008914162485385013,0.4877216030815423,6.467834617756691
0.001,0,0.05,4,29,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,30,0.0008914162485385013,2.8232546016962976,6.996332124995525
0.001,0,0.05,4,31,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,32,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,33,0.0008914162485385013,0.8644878185081014,7.803783789569655
0.001,0,0.05,4,34,0.0008914162485385013,0.8566512571352911,6.160231892449481
0.001,0,0.05,4,35,0.0008914162485385013,0.049458268509027625,6.600518123100686
0.001,0,0.05,4,36,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,37,0.0008914162485385013,0.8644878185081014,6.8852679213551164
0.001,0,0.05,4,38,0.0008914162485385013,1.9687294615974102,6.986242067058499
0.001,0,0.05,4,39,0.0008914162485385013,1.240467931993293,6.600518123100686
0.001,0,0.05,4,40,0.0008914162485385013,2.862850996301516,6.1272208145215465
0.001,0,0.05,4,41,0.0008914162485385013,2.862850996301516,6.872533688606126
0.001,0,0.05,4,42,0.0008914162485385013,2.862850996301516,7.723916980121443
0.001,0,0.05,4,43,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,44,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,45,0.0008914162485385013,1.9687294615974102,6.986242067058499
0.001,0,0.05,4,46,0.0008914162485385013,2.3670885477121977,6.600518123100686
0.001,0,0.05,4,47,0.0008914162485385013,2.862850996301516,5.068545961136074
0.001,0,0.05,4,48,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,49,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,50,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,51,0.0008914162485385013,0.8566512571352911,6.160231892449481
0.001,0,0.05,4,52,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,53,0.0008914162485385013,0.8644878185081014,6.238958900374
0.001,0,0.05,4,54,0.0008914162485385013,2.862850996301516,6.872533688606126
0.001,0,0.05,4,55,0.0008914162485385013,2.8232546016962976,6.996332124995525
0.001,0,0.05,4,56,0.0008914162485385013,0.8566512571352911,6.160231892449481
0.001,0,0.05,4,57,0.0008914162485385013,2.3670885477121977,6.600518123100686
0.001,0,0.05,4,58,0.0008914162485385013,2.862850996301516,6.37813796179346
0.001,0,0.05,4,59,0.0008914162485385013,2.862850996301516,5.854779156258679
0.001,0,0.05,4,60,0.0008914162485385013,2.862850996301516,6.37813796179346
0.001,0,0.05,4,61,0.0008914162485385013,2.862850996301516,6.049484320384897
0.001,0,0.05,4,62,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,63,0.0008914162485385013,2.862850996301516,6.957507493751076
0.001,0,0.05,4,64,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,65,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,66,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,67,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,68,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,69,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,70,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,71,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,72,0.0008914162485385013,2.761323394566707,6.8852679213551164
0.001,0,0.05,4,73,0.0008914162485385013,2.862850996301516,6.37813796179346
0.001,0,0.05,4,74,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,75,0.0008914162485385013,2.862850996301516,6.986242067058499
0.001,0,0.05,4,76,0.0008914162485385013,2.8232546016962976,6.996332124995525
0.001,0,0.05,4,77,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,78,0.0008914162485385013,2.862850996301516,6.793751684758915
0.001,0,0.05,4,79,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,80,0.0008914162485385013,2.862850996301516,6.986242067058499
0.001,0,0.05,4,81,0.0008914162485385013,2.8415456321140447,6.345537687221544
0.001,0,0.05,4,82,0.0008914162485385013,2.8232546016962976,6.350568157224135
0.001,0,0.05,4,83,0.0008914162485385013,2.862850996301516,6.255359778012435
0.001,0,0.05,4,84,0.0008914162485385013,2.862850996301516,6.173922883103846
0.001,0,0.05,4,85,0.0008914162485385013,2.862850996301516,6.628940124597618
0.001,0,0.05,4,86,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,87,0.0008914162485385013,2.862850996301516,6.369526584896324
0.001,0,0.05,4,88,0.0008914162485385013,2.862850996301516,6.872533688606126
0.001,0,0.05,4,89,0.0008914162485385013,2.862850996301516,6.986242067058499
0.001,0,0.05,4,90,0.0008914162485385013,2.4310126631808324,6.707708552579664
0.001,0,0.05,4,91,0.0008914162485385013,2.862850996301516,4.9558743005104615
0.001,0,0.05,4,92,0.0008914162485385013,2.3670885477121977,6.600518123100686
0.001,0,0.05,4,93,0.0008914162485385013,2.862850996301516,5.329729332007072
0.001,0,0.05,4,94,0.0008914162485385013,2.862850996301516,6.255359778012435
0.001,0,0.05,4,95,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,96,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,97,0.0008914162485385013,2.862850996301516,6.255359778012435
0.001,0,0.05,4,98,0.0008914162485385013,2.862850996301516,6.872533688606126
0.001,0,0.05,4,99,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,100,0.0008914162485385013,2.862850996301516,6.255359778012435
0.001,0,0.05,5,1,0.0016142438281419036,1.7811111554251056,6.292710161084739
0.001,0,0.05,5,2,0.0016142438281419036,1.7811111554251056,5.580208024680486
0.001,0,0.05,5,3,0.0016142438281419036,1.7811111554251056,6.178921737515376
0.001,0,0.05,5,4,0.0016142438281419036,1.7811111554251056,5.162045421592072
0.001,0,0.05,5,5,0.0016142438281419036,1.7811111554251056,6.085364611050322
