mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x
0.001,1,0.5,4,0.01095234483691831,2.4493037220085343,4235,206.0204607614348,412.04092152286955,5.315435651149454
0.001,1,0.5,5,0.01835438970868713,1.8833637305880968,3986,206.0204607614348,412.04092152286955,6.038923416123233
0.001,1,0.5,6,0.006339814592540754,2.2784166094778358,4216,206.0204607614348,412.04092152286955,4.097223824472183
0.001,1,0.5,7,0.009249088602002006,1.768678171130842,4015,206.02046076143478,412.04092152286955,4.213771544455285
0.001,1,0.5,8,0.008850362137036855,1.1609636832646002,4150,206.02046076143478,412.04092152286955,6.468322182747906
0.001,0,0.2,0,0.0013784084674777874,1.4115111694929494,1569,82.40818430457392,412.0409215228695,3.4600221357720495
0.001,0,0.2,1,0.0011068748996303237,2.5372920686631586,1583,82.40818430457392,412.0409215228695,4.9660184051266825
0.001,0,0.2,2,0.022497076339970966,2.2729627768364193,1454,83.23226613678956,399.6796940396347,3.5694478667380296
0.001,0,0.2,3,0.0028579291900898696,2.5332688688990928,1564,82.40818430457392,412.0409215228695,4.856839416078303
0.001,0,0.2,4,0.01087629170554174,2.155325063324515,1620,82.40818430457392,412.0409215228695,2.5403891261580522
0.001,0,0.2,5,0.0045853293322174445,2.4525148277701927,1629,82.40818430457392,412.0409215228695,4.74988796151519
0.001,0,0.2,6,0.09514544938071783,2.217284330641896,1278,86.23704851016738,354.60795843896744,3.968807509526309
0.001,0,0.2,7,0.016316831080629,2.5347874933658456,1525,82.40818430457392,412.0409215228695,5.428255151848965
0.001,0,0.2,8,0.004334646235914797,2.122067624546842,1570,82.40818430457392,412.0409215228695,3.259571280726702
0.001,0.5,0.2,0,0.025797564100601373,2.667394841799923,1505,82.4081843045739,412.0409215228695,6.934832772738912
0.001,0.5,0.2,1,0.005998959355096866,1.6171559111621283,1493,82.40818430457392,412.0409215228695,3.639026840129891
0.001,0.5,0.2,2,0.013761606250780304,2.412927241129537,1566,82.40818430457392,412.0409215228695,3.8462727246640878
0.001,0.5,0.2,3,0.010858539811321712,1.5585933110828438,1505,82.40818430457392,412.0409215228695,2.76759958044201
0.001,0.5,0.2,4,0.006521603312888081,1.1464174972013776,1606,83.78165404298348,391.438875446726,8.26291873705476
0.001,0.5,0.2,5,0.012920881280013454,2.2834087519118307,1479,82.40818430457392,412.0409215228695,6.735506503139287
0.001,0.5,0.2,6,0.02546004192624334,2.7072648514212023,1365,82.91751799736502,404.40091613100253,3.2922281207759982
0.001,0.5,0.2,7,0.020703675771155314,2.5197549967791186,1447,82.40818430457392,412.0409215228695,2.5799624700431893
0.001,0.5,0.2,8,0.0029975158317296913,2.2856047075431185,1589,82.40818430457392,412.0409215228695,5.674897398903173
0.001,1,0.2,0,0.0024039107676865346,2.13886108008011,1580,82.40818430457392,412.0409215228695,1.9457380176044472
0.001,1,0.2,1,0.00296224975133714,1.316876609846034,1402,86.52859351980261,350.2347832944391,2.2880138489203996
0.001,1,0.2,2,0.004345443727463705,1.6595466158659469,1625,82.40818430457392,412.0409215228695,4.744644763573575
0.001,1,0.2,3,0.007721077349633227,1.3372557667110132,1639,82.40818430457392,412.0409215228695,3.9066032410954303
0.001,1,0.2,4,0.007035318779058733,1.4075465917400003,1561,82.4081843045739,412.0409215228695,8.513590435435733
0.001,1,0.2,5,0.08274575216964494,2.5664977110708485,1317,83.16739978313724,400.6526893444194,5.6625511759819736
0.001,1,0.2,6,0.009148955434320483,2.1775270398400006,1515,83.23226475011286,399.67971483978516,7.845995130469887
0.001,1,0.2,7,0.010540730357124198,1.704789550769724,1473,82.40818430457392,412.0409215228695,6.302036049357253
0.001,1,0.2,8,0.007464797909090949,1.4803292134278383,1529,82.40818430457392,412.0409215228695,5.500030963833631
0.001,0,0.05,0,nan,nan,0,27.469394768191304,0.0,nan
0.001,0,0.05,1,nan,nan,0,27.469394768191304,0.0,nan
0.001,0,0.05,2,nan,nan,0,27.469394768191304,0.0,nan
0.001,0,0.05,3,0.004604187233694379,1.9346972308511663,216,23.34898555296261,247.2245529137217,0.8958360232798954
0.001,0,0.05,4,0.0008914162485385013,2.168004519941905,250,23.34898555296261,247.2245529137217,5.995162712950769
0.001,0,0.05,5,0.0016142438281419036,1.7812534196259944,158,24.72245529137217,164.81636860914782,6.078345934842556
0.001,0,0.05,6,0.0012335850954303673,0.4700124485241269,234,23.34898555296261,247.2245529137217,9.15052020716551
0.001,0,0.05,7,nan,nan,0,27.469394768191304,0.0,nan
0.001,0,0.05,8,0.004658424396025707,1.5095699958307756,273,21.975515814553045,329.63273721829563,3.8223667850481013
0.001,0.5,0.05,0,nan,nan,0,27.4693947681913,0.0,nan
0.001,0.5,0.05,1,nan,nan,0,27.469394768191304,0.0,nan
0.001,0.5,0.05,2,nan,nan,0,27.4693947681913,0.0,nan
0.001,0.5,0.05,3,nan,nan,0,27.4693947681913,0.0,nan
0.001,0.5,0.05,4,nan,nan,0,27.4693947681913,0.0,nan
0.001,0.5,0.05,5,nan,nan,0,27.4693947681913,0.0,nan
0.001,0.5,0.05,6,nan,nan,0,27.4693947681913,0.0,nan
0.001,0.5,0.05,7,nan,nan,0,27.469394768191304,0.0,nan
0.001,0.5,0.05,8,0.016204381189515137,1.5481466621068454,334,21.42612791918922,362.5960109401252,8.660864231142533
0.001,1,0.05,0,nan,nan,0,27.469394768191304,0.0,nan
0.001,1,0.05,1,nan,nan,0,27.469394768191304,0.0,nan
0.001,1,0.05,2,0.010333261044783935,1.1929255297711083,313,20.60204607614348,412.04092152286955,1.8842368605291402
0.001,1,0.05,3,nan,nan,0,27.469394768191304,0.0,nan
0.001,1,0.05,4,0.0029795126882381506,1.5725861556978187,407,20.60204607614348,412.04092152286955,1.7620940983580657
0.001,1,0.05,5,0.1047495993287049,0.11552385452687552,127,25.260503267573668,132.53349003705796,7.824408608939482
0.001,1,0.05,6,0.6240414785291512,0.006424189287390304,183,23.283852547228364,251.13253325777632,9.330634794925178
0.001,1,0.05,7,0.014845703491507267,2.3949225753086556,299,20.875308628280976,395.6451683946194,4.866859177728261
0.001,1,0.05,8,0.011503370817661507,2.573766696503333,351,20.60204607614348,412.04092152286955,1.2397467749908382
