mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x
0.001,0,0.05,4,nan,nan,0,24.69388953966559,412.04092152286955,nan
0.001,0,0.05,5,nan,nan,0,19.066721379077222,412.0409215228695,nan
0.001,0,0.05,6,nan,nan,0,26.511999422212604,412.0409215228695,nan
0.001,0,0.05,7,nan,nan,0,27.260249909168447,412.0409215228696,nan
0.001,0,0.05,8,nan,nan,0,24.39561138676493,412.04092152286955,nan
0.001,0.5,0.05,0,nan,nan,0,14.03393406221087,412.0409215228696,nan
0.001,0.5,0.05,1,nan,nan,0,10.150722973808557,412.0409215228696,nan
0.001,0.5,0.05,2,nan,nan,0,20.903439839346042,412.0409215228695,nan
0.001,0.5,0.05,3,nan,nan,0,7.714442576078628,412.0409215228696,nan
0.001,0.5,0.05,4,0.44754652005993967,2.3645167466550934,40,24.98335846008532,456.2967644382898,55.10321044052718
0.001,0.5,0.05,5,nan,nan,0,6.369591982659164,412.0409215228697,nan
0.001,0.5,0.05,6,nan,nan,0,18.51836161271491,412.0409215228695,nan
0.001,0.5,0.05,7,nan,nan,0,7.8475961051860255,412.04092152286955,nan
0.001,0.5,0.05,8,nan,nan,0,22.096080341279947,412.0409215228695,nan
0.001,1,0.05,0,nan,nan,0,8.035875986817203,412.0409215228696,nan
0.001,1,0.05,1,0.3044876132004859,2.5447790323864687,58,27.211188415450447,443.6907898356072,75.77471995043234
0.001,1,0.05,2,nan,nan,0,0.2575429547103239,412.04092152286955,nan
0.001,1,0.05,3,nan,nan,0,16.744628503037703,412.0409215228696,nan
0.001,1,0.05,4,nan,nan,0,18.05505230441005,412.0409215228695,nan
0.001,1,0.05,5,nan,nan,0,0.9759868465457475,412.0409215228696,nan
0.001,1,0.05,6,nan,nan,0,5.4622536752035655,412.0409215228696,nan
0.001,1,0.05,7,0.17984623652055887,2.6213788273263425,3,9.198765878221211,423.41503810314646,55.72079157569277
0.001,1,0.05,8,nan,nan,0,4.429629387680183,412.0409215228696,nan
