mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,1,0.05,1,1,0.3044876132004859,3.059289369717109,62.776251056279676
0.001,1,0.05,1,2,0.3044876132004859,3.059289369717109,113.40468327504867
0.001,1,0.05,1,3,0.3044876132004859,3.059289369717109,109.9350106218369
0.001,1,0.05,1,4,0.3044876132004859,1.8656253871100241,71.27425206310613
0.001,1,0.05,1,5,0.3044876132004859,1.8656253871100241,67.69585437411489
0.001,1,0.05,1,6,0.3044876132004859,3.059289369717109,88.81717162550123
0.001,1,0.05,1,7,0.3044876132004859,1.8656253871100241,64.35201473634146
0.001,1,0.05,1,8,0.3044876132004859,3.059289369717109,58.39114237720008
0.001,1,0.05,1,9,0.3044876132004859,3.059289369717109,98.0297142278186
0.001,1,0.05,1,10,0.3044876132004859,3.059289369717109,93.95872613613174
0.001,1,0.05,1,11,0.3044876132004859,1.8656253871100241,48.78458668428477
0.001,1,0.05,1,12,0.3044876132004859,3.059289369717109,109.14840178309571
0.001,1,0.05,1,13,0.3044876132004859,1.8656253871100241,64.67759969793025
0.001,1,0.05,1,14,0.3044876132004859,3.059289369717109,78.70254986766679
0.001,1,0.05,1,15,0.3044876132004859,1.8656253871100241,48.340956032690016
0.001,1,0.05,1,16,0.3044876132004859,3.059289369717109,76.94637070892468
0.001,1,0.05,1,17,0.3044876132004859,1.8656253871100241,46.27892923138535
0.001,1,0.05,1,18,0.3044876132004859,1.8656253871100241,69.44162625126738
0.001,1,0.05,1,19,0.3044876132004859,1.8656253871100241,65.87700361739222
0.001,1,0.05,1,20,0.3044876132004859,3.059289369717109,80.55239864657995
0.001,1,0.05,1,21,0.3044876132004859,1.8656253871100241,69.06068684760429
0.001,1,0.05,1,22,0.3044876132004859,1.8656253871100241,46.112303539080955
0.001,1,0.05,1,23,0.3044876132004859,3.059289369717109,102.52433145456364
0.001,1,0.05,1,24,0.3044876132004859,1.8656253871100241,47.859061643719905
0.001,1,0.05,1,25,0.3044876132004859,1.8656253871100241,54.87923654916204
0.001,1,0.05,1,26,0.3044876132004859,3.059289369717109,91.93510936091363
0.001,1,0.05,1,27,0.3044876132004859,3.059289369717109,94.04370883208286
0.001,1,0.05,1,28,0.3044876132004859,1.8656253871100241,46.097883979276205
0.001,1,0.05,1,29,0.3044876132004859,1.8656253871100241,52.96729039273368
0.001,1,0.05,1,30,0.3044876132004859,3.059289369717109,62.76770760665846
0.001,1,0.05,1,31,0.3044876132004859,3.059289369717109,121.26500650377173
0.001,1,0.05,1,32,0.3044876132004859,3.059289369717109,114.36059436180479
0.001,1,0.05,1,33,0.3044876132004859,1.8656253871100241,46.50414863541409
0.001,1,0.05,1,34,0.3044876132004859,3.059289369717109,102.54087687339863
0.001,1,0.05,1,35,0.3044876132004859,1.8656253871100241,47.329440950832115
0.001,1,0.05,1,36,0.3044876132004859,3.059289369717109,75.03863168188182
0.001,1,0.05,1,37,0.3044876132004859,1.8656253871100241,48.46444219186137
