mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position

0.001,0.5,0.05,0,1,0.2523016836850078,3.0659215722202986,53.686667247117974
0.001,0.5,0.05,0,2,0.2523016836850078,3.0659215722202986,51.604091528160836
0.001,0.5,0.05,0,3,0.2523016836850078,3.0659215722202986,54.99976857003741
0.001,0.5,0.05,0,4,0.2523016836850078,3.0659215722202986,56.929878854006695
0.001,0.5,0.05,0,5,4.145683094319237,3.0659215722202986,88.81434537662984
0.001,0.5,0.05,0,6,0.2523016836850078,3.0659215722202986,58.40530825767182
0.001,0.5,0.05,0,7,0.2523016836850078,3.0659215722202986,62.01510104026357
0.001,0.5,0.05,0,8,0.2523016836850078,3.0659215722202986,64.77126193542598
0.001,0.5,0.05,0,9,0.2523016836850078,3.0659215722202986,72.42272223505321
0.001,0.5,0.05,0,10,0.2523016836850078,3.0659215722202986,50.141169633968524
0.001,0.5,0.05,0,11,0.2523016836850078,3.0659215722202986,64.66906382772423
0.001,0.5,0.05,0,12,0.2523016836850078,3.0659215722202986,69.24116789596036
0.001,0.5,0.05,0,13,0.2523016836850078,3.0659215722202986,59.501529194622684
0.001,0.5,0.05,1,1,0.2485443475419935,2.696825624812236,101.03269762252228
0.001,0.5,0.05,1,2,0.2485443475419935,2.696825624812236,99.07771685659345
0.001,0.5,0.05,1,3,0.2485443475419935,2.696825624812236,82.05041142578668
0.001,0.5,0.05,1,4,0.2485443475419935,2.696825624812236,98.19270024300248
0.001,0.5,0.05,1,5,0.2485443475419935,2.696825624812236,91.28649093074935
0.001,0.5,0.05,1,6,0.2485443475419935,2.696825624812236,102.28904238442733
0.001,0.5,0.05,1,7,0.2485443475419935,2.696825624812236,100.20965181606785
0.001,0.5,0.05,1,8,0.2485443475419935,2.696825624812236,107.28794572729585
0.001,0.5,0.05,1,9,0.2485443475419935,2.696825624812236,93.18331282991853
0.001,0.5,0.05,1,10,0.2485443475419935,2.2892582563834587,109.86824849712771
0.001,0.5,0.05,1,11,0.2485443475419935,2.696825624812236,98.89987360683696
0.001,0.5,0.05,1,12,0.2485443475419935,2.696825624812236,90.49728388293904
0.001,0.5,0.05,1,13,0.2485443475419935,2.696825624812236,107.91174914155782
0.001,0.5,0.05,1,14,0.2485443475419935,2.696825624812236,92.80583796625037
0.001,0.5,0.05,1,15,0.2485443475419935,2.696825624812236,102.49135504476826
0.001,0.5,0.05,1,16,0.2485443475419935,2.696825624812236,91.15093468839306
0.001,0.5,0.05,1,17,0.2485443475419935,2.696825624812236,83.08555656712048
0.001,0.5,0.05,1,18,0.2485443475419935,2.696825624812236,90.74623889327076
0.001,0.5,0.05,1,19,0.2485443475419935,2.696825624812236,95.87573346439869
0.001,0.5,0.05,1,20,0.2485443475419935,2.696825624812236,94.89690227785613
0.001,0.5,0.05,1,21,0.2485443475419935,2.696825624812236,93.13012038056478
0.001,0.5,0.05,1,22,0.2485443475419935,2.696825624812236,91.14081194814837
0.001,0.5,0.05,1,23,0.2485443475419935,2.696825624812236,75.99864452752908
0.001,0.5,0.05,1,24,0.2485443475419935,2.696825624812236,91.84980627035479
0.001,0.5,0.05,1,25,0.2485443475419935,2.696825624812236,100.24874254872687
0.001,0.5,0.05,1,26,0.2485443475419935,2.696825624812236,99.26948205784173
0.001,0.5,0.05,1,27,0.2485443475419935,2.696825624812236,107.05088504288287
0.001,0.5,0.05,1,28,0.2485443475419935,2.696825624812236,92.64583985712002
0.001,0.5,0.05,1,29,0.2485443475419935,2.696825624812236,91.29321451861324
0.001,0.5,0.05,1,30,0.2485443475419935,2.696825624812236,104.33978477809917
0.001,0.5,0.05,1,31,0.2485443475419935,2.696825624812236,92.92012214974581
0.001,0.5,0.05,1,32,0.2485443475419935,2.696825624812236,92.81882442116328
0.001,0.5,0.05,1,33,0.2485443475419935,2.696825624812236,105.60945145429409
0.001,0.5,0.05,1,34,0.2485443475419935,2.696825624812236,106.0000198637188
