Mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x
0.001,0.5,0.2,4,1.9316076667453639,2.9641155841421334,280,80.53389141231773,135.80222757018328,38.712468038108035
0.001,0.5,0.2,5,1.6846831138106255,3.0335931372263607,298,80.8292016226872,141.6634348402711,60.81879929193908
0.001,0.5,0.2,6,1.387200887797087,2.9145433568894927,213,80.09017297849547,135.12106614837302,78.06916864640696
0.001,0.5,0.2,7,1.0682690318728145,2.78040901575128,343,81.95510644639474,140.47069590033456,44.782356983941725
0.001,0.5,0.2,8,1.6160320458295077,2.924321279959081,312,81.34900199435394,146.78856222470284,61.38956370202748
0.001,1,0.2,0,1.2341688674143705,2.9172607641342014,381,80.19782829953813,155.59361907735752,78.24208059084482
0.001,1,0.2,1,1.359979819705566,2.785196220957519,241,80.1791829411739,147.27640663354742,48.79531691714804
0.001,1,0.2,2,1.182924569365126,3.0423931398641924,176,81.97233649554354,134.07296039744674,53.36995892337993
0.001,1,0.2,3,2.050607754367365,3.121888188600549,313,79.93887715865947,155.06375744549484,36.27973199232894
0.001,1,0.2,4,1.8385827411569662,2.6595948051037444,261,80.88879651387707,157.22282550064466,37.683512560326655
0.001,1,0.2,5,1.228614171103206,2.9001091029059958,232,80.74048577134164,145.46013945169327,58.192004854402136
0.001,1,0.2,6,0.8404564626044772,2.8082085936457624,190,79.77204806978227,141.4407582325051,95.95275170291643
0.001,1,0.2,7,1.6099480508037098,3.072703077958174,272,80.1535502991318,155.2991669320432,31.933276598550453
0.001,1,0.2,8,1.0169464682041023,2.9277300977437815,211,81.15949194109731,140.82582826370748,76.38171941485932
0.001,0,0.5,0,2.73419709651394,2.71356535810991,912,201.2474988738611,153.3975209086034,59.592233856360274
0.001,0,0.5,1,3.360819523084245,2.8239732014690397,676,202.69679243567967,139.6659808053811,77.91672979173816
0.001,0,0.5,2,3.5226590335839782,2.8367977352176674,662,201.56471971387734,137.80477266693484,71.81993372957419
0.001,0,0.5,3,3.0859168409234936,2.577716334688941,697,201.90951380601732,136.40386725545477,66.69768500781849
0.001,0,0.5,4,3.0427503330164267,2.9414245035930624,723,202.56390767305348,144.185368388806,63.85954673901267
0.001,0,0.5,5,3.0283175650880243,2.7561559825147164,777,202.83511257809218,144.39900077622585,77.2938450857647
0.001,0,0.5,6,3.3457727147762086,2.6397874045690046,777,203.10728997273412,141.5355507585229,78.10753062733801
0.001,0,0.5,7,3.427982679731719,2.8067338189389357,724,203.4027056251871,138.65814315646176,71.98494274238577
0.001,0,0.5,8,3.3911608290882693,2.5035510432542885,722,203.83765234235923,139.12257162038077,73.30401820531677
0.001,0.5,0.5,0,2.3687216824302193,2.9840438470770834,782,201.19727208543884,164.0516957433921,87.60930041689438
0.001,0.5,0.5,1,2.754651968153469,3.0139602185356846,759,204.24334178786134,150.19139776641435,72.72827625106082
0.001,0.5,0.5,2,3.31167623484997,2.904966481608541,823,200.2814822747996,167.52479839833825,106.7760452309337
0.001,0.5,0.5,3,3.535949378432255,3.052473818280319,899,199.09913576634588,158.32236928852487,56.1235259415768
0.001,0.5,0.5,4,2.430641057334423,2.9173635210901847,712,202.1717023809329,149.97056778135615,76.76917359351158
0.001,0.5,0.5,5,2.6375563337923373,2.8006047172285826,707,201.41238609449692,157.79786431926502,74.1872270833183
0.001,0.5,0.5,6,3.1606061281518314,3.043719546318631,849,201.59507941753935,151.3626747032708,73.32922199952748
0.001,0.5,0.5,7,3.4480646691460377,2.74865194960457,784,200.90056530190333,169.6781021503472,43.443753713245485
0.001,0.5,0.5,8,2.732105329745135,3.0237222952684855,735,201.87184713633175,161.13678309800537,89.8683379415428
